Chatbot Condition,Average of Negative probability,Average of Positive probability,Sample size,Average Questionnaire Score
"misc
",0.0,0.0,2,0.0
"
",0.3164062499999999,0.1835937499999998,2,5.416666666666667
"test2
",0.0,0.0,1,0
"banana
",0.0,0.0,1,0
"C02
",0.5752840909090908,0.33380681818181784,11,6.541666666666667
"C03
",0.5752840909090908,0.33380681818181784,11,6.75
"C00
",0.5695312499999999,0.33046874999999964,10,8.541666666666666
"C01
",0.5695312499999999,0.33046874999999964,10,4.541666666666667
