Condition,Avg. Propability of Positive Sentiment,Avg. Propability of Negative Sentiment,Sample Size,Average word length,Average verb count,Average noun count,Average adjective count
C01,0.378346810422282,0.6216531895777178,6,2.3333333333333335,0.8333333333333334,0.8333333333333334,0.6666666666666666
C03,0.37690100758979134,0.6230989924102084,6,2.5,0.6666666666666666,1.0,0.6666666666666666
C00,0.35085354896675636,0.6491464510332433,1,3.0,1.0,1.0,1.0
C02,0.39484247573684494,0.6051575242631548,3,2.3333333333333335,0.6666666666666666,1.3333333333333333,0.3333333333333333
happysad,0.4166666666666665,0.5833333333333333,1,1.0,0.0,1.0,0.0
undefined,0.38507321410221856,0.6149267858977819,1,4.0,1.0,1.0,1.0
