Chatbot Condition,Average of Negative probability,Average of Positive probability,Sample size,Average Questionnaire Score
"misc
",0.0,0.0,2,0.0
"
",0.2150297619047619,0.284970238095238,2,5.416666666666667
"test2
",0.0,0.0,1,0
"banana
",0.0,0.0,1,0
"C02
",0.532341255580776,0.37674965351013223,11,6.541666666666667
"C03
",0.45939149341100927,0.4496994156798993,11,6.75
"C00
",0.5757089311877256,0.3242910688122744,10,8.541666666666666
"C01
",0.39714361285930966,0.5028563871406904,10,4.541666666666667
